------------------------------------------------------------------------------------------
  No  | MATRICULA | NOMBRE        | APELLIDO P.  |  APELLIDO MAT.     | EDAD  | SEXO 
------------------------------------------------------------------------------------------
   0.-  312447      ALEJANDRO       DELGADO         MEDINA              20      HOMBRE 
   1.-  318098      LUIS            MORA            SERRANO             23      HOMBRE 
   2.-  326832      ROSA            SEGURA          NAVARRO             26      MUJER  
   3.-  320605      PATRICIA        MEDINA          CORDERO             25      MUJER  
   4.-  308639      VICTORIA        ROMERO          AVILA               27      MUJER  
   5.-  319428      ANTONIO         MORALES         SEGURA              27      HOMBRE 
   6.-  328073      ENRIQUE         CORDERO         SEGURA              26      HOMBRE 
   7.-  322351      OSCAR           VARGAS          SOTO                20      HOMBRE 
   8.-  301459      ALEJANDRO       GUZMAN          CASTRO              18      HOMBRE 
   9.-  331130       DIANA          HARO            SERRANO             22      MUJER  
  10.-  328841      LOURDES         MORALES         CORDOVA             22      MUJER  
  11.-  316523      FERNANDO        REYES           SANCHEZ             22      HOMBRE 
  12.-  312362      PABLO           FERNANDEZ       GONZALEZ            26      HOMBRE 
  13.-  327668       DIANA          SALAZAR         CORDERO             19      MUJER  
  14.-  330164      LUCIA           RIOS            SOLANO              20      MUJER  
  15.-  313244      ANDRES          CASTRO          SALAZAR             27      HOMBRE 
  16.-  328056      GLORIA          BLANCO          NAVARRO             21      MUJER  
  17.-  327665      ALBERTO         HARO            GALLEGOS            20      HOMBRE 
  18.-  309909      MARIO           REYES           BLANCO              22      HOMBRE 
  19.-  310216      JOSE            PIZARRO         ZAMORA              20      HOMBRE 
  20.-  318255      LUCIA           MIRANDA         PENA                24      MUJER  
  21.-  330167      ANTONIO         AGUILAR         RIVAS               22      HOMBRE 
  22.-  328380      GUSTAVO         RUIZ            PEREZ               22      HOMBRE 
  23.-  307225      MIGUEL          LOPEZ           RIOS                22      HOMBRE 
  24.-  312125      SILVIA          VIDAL           LEON                18      MUJER  
  25.-  318051      DAVID           NAVARRO         GALLEGOS            22      HOMBRE 
